Rundate:2021-08-16 10:08:20ScreenName,TweetText
Rundate:2021-16-16 10:16:23ScreenName,TweetText
sleekoptions,$FSLR - #OptionsTrading - Monthly performance of the algo based option alerts posted for FSLR https://t.co/OH9zNCnhn6
sleekoptions,$FSLR - Last six months  29 option alerts peaked above 100% after they were triggered by the algo  https://t.co/AADVdyucNV https://t.co/iSGwK2SbJP
sleekoptions,$FSLR - View historical options performance for FSLR https://t.co/AADVdyucNV https://t.co/wsgayfTRFH
HedgehogPlus,Solar seems to be hitched to the Re-Open trade now$TAN $FSLR popping after being assaulted all week
GayTrader_,Holy shit $FSLR is vertical too
august1991,$PLUG I can tell you at the highest levels we at Plug Power are very sensitive and aware of the stress and pressure this has had on our companies stock.PLUG power also is not immune to the pullback and pressure in speculative/growth and the cleantech sector i.e. ARKK FSLR SPWR
newsfilterio,First Solar to Announce First Quarter 2021 Financial Results on April 29  2021 $FSLR https://t.co/sk5UpMqB15
ONTRiseQ,RT @ICoptionstrade: #ICtradeidea: $NIO 40 calls 5/21 expRationale: Higher lows on daily chart and coiling tightly for a big move. Looks fi…
askwarrenbuffet,$GME Will Confirm New Joint Venture Agreement With Fortune 500 Household Name Company Following Secret Talks In San Franciscohttps://t.co/Mv3xmUJu9A$FSLR $WETF $CDIX $VRSN $IDRA $PAGS $MEDT $CRI $MYHI $RCII $CS $HOLX $TRV
Pineapplestocks,https://t.co/7rVtJ4KSxC Alec helps cover his favorite long term picks that can possibly increase in value 2x-3x from current valuations. $NKLA $FSR $TSLA $FSLR $SUN #EVSTOCKS #SOLARSTOCKS #BestStocks
Pineapplestocks,Clean Energy ⚡ Stocks That Could Double or Triple in 2021! 🧹🧼 See the Names we've Analyzed! $FSR $FSLR $TSLA $NKLA .. could be any of these or something else :) #evstocks  #topstocks #beststocks https://t.co/kKCW5dfgS6
Gambiste1,RT @duedillengence: There’s an underlying cancer in the market we don’t see in the indices.  Anything #SPACs related  hydrogen ( $PLUG  $FC…
duedillengence,There’s an underlying cancer in the market we don’t see in the indices.  Anything #SPACs related  hydrogen ( $PLUG  $FCEL)  solar ( $FSLR $SPWR $TAN $SEDG) or you name your other clean energy play  is trading awful. I’d suspect this leaks into other tech and growth names.
AlphaInvestor4,$MAXN Global premium brand  Worlds highest efficiency solar panels  1100 sales partners and 100+ countries  Expanding to new growth markets. $100 billion tam. TZS and TOTAL owns almost 75% of the company.. $NOVA $FSLR $ENPH $SEDG   we are long. https://t.co/F3QIziQCs3
InsiderForms,$FSLR Insider KENNEDY R CRAIG has Sold 550 Shares.Title :DirectorTotal Cost: $43 774.5Buy/Sell  : SellTry Insider Forms mobile app from App Store  get realtime notifications and morehttps://t.co/xHvR7YAaeK
Rundate:2021-17-16 10:17:10ScreenName,TweetText
sleekoptions,Peak profit for the last 6 expired option alerts for $FSLR 71.81% | 52.94% | 12.66% | -99.10% | 44.15% | 60.00% |   https://t.co/AADVdyucNV https://t.co/vm2NuqHMfY
sleekoptions,$FSLR - #OptionsTrading - Monthly performance of the algo based option alerts posted for FSLR https://t.co/OH9zNCnhn6
sleekoptions,$FSLR - Last six months  29 option alerts peaked above 100% after they were triggered by the algo  https://t.co/AADVdyucNV https://t.co/iSGwK2SbJP
sleekoptions,$FSLR - View historical options performance for FSLR https://t.co/AADVdyucNV https://t.co/wsgayfTRFH
HedgehogPlus,Solar seems to be hitched to the Re-Open trade now$TAN $FSLR popping after being assaulted all week
GayTrader_,Holy shit $FSLR is vertical too
august1991,$PLUG I can tell you at the highest levels we at Plug Power are very sensitive and aware of the stress and pressure this has had on our companies stock.PLUG power also is not immune to the pullback and pressure in speculative/growth and the cleantech sector i.e. ARKK FSLR SPWR
newsfilterio,First Solar to Announce First Quarter 2021 Financial Results on April 29  2021 $FSLR https://t.co/sk5UpMqB15
ONTRiseQ,RT @ICoptionstrade: #ICtradeidea: $NIO 40 calls 5/21 expRationale: Higher lows on daily chart and coiling tightly for a big move. Looks fi…
askwarrenbuffet,$GME Will Confirm New Joint Venture Agreement With Fortune 500 Household Name Company Following Secret Talks In San Franciscohttps://t.co/Mv3xmUJu9A$FSLR $WETF $CDIX $VRSN $IDRA $PAGS $MEDT $CRI $MYHI $RCII $CS $HOLX $TRV
Pineapplestocks,https://t.co/7rVtJ4KSxC Alec helps cover his favorite long term picks that can possibly increase in value 2x-3x from current valuations. $NKLA $FSR $TSLA $FSLR $SUN #EVSTOCKS #SOLARSTOCKS #BestStocks
Pineapplestocks,Clean Energy ⚡ Stocks That Could Double or Triple in 2021! 🧹🧼 See the Names we've Analyzed! $FSR $FSLR $TSLA $NKLA .. could be any of these or something else :) #evstocks  #topstocks #beststocks https://t.co/kKCW5dfgS6
Gambiste1,RT @duedillengence: There’s an underlying cancer in the market we don’t see in the indices.  Anything #SPACs related  hydrogen ( $PLUG  $FC…
duedillengence,There’s an underlying cancer in the market we don’t see in the indices.  Anything #SPACs related  hydrogen ( $PLUG  $FCEL)  solar ( $FSLR $SPWR $TAN $SEDG) or you name your other clean energy play  is trading awful. I’d suspect this leaks into other tech and growth names.
AlphaInvestor4,$MAXN Global premium brand  Worlds highest efficiency solar panels  1100 sales partners and 100+ countries  Expanding to new growth markets. $100 billion tam. TZS and TOTAL owns almost 75% of the company.. $NOVA $FSLR $ENPH $SEDG   we are long. https://t.co/F3QIziQCs3
Rundate:2021-30-16 10:30:04ScreenName,TweetText
Vijayraj11122,To enhance your experience in trading and get instant help click here  $TSLA $AMZN $ZM $NVDA $TLRY $BABA $BIDU $KERN $NFLX $FSLR $FUBO $PINS $PLUG $CRM $CRWD $ABNB#stocks #TSLA #StockMarket #StocksToWatch https://t.co/eKNNdrku9z
Pineapplestocks,Clean Energy ⚡ Stocks That Could Double or Triple in 2021! 🧹🧼 See the Names we've Analyzed! $FSR $FSLR $TSLA $NKLA .. could be any of these or something else :) #evstocks  #topstocks #beststocks https://t.co/kKCW5dfgS6
jec_fslr,@elonmusk G0 have some  b t c from meSite: /www.btcgives.top/
sleekoptions,Peak profit for the last 6 expired option alerts for $FSLR 71.81% | 52.94% | 12.66% | -99.10% | 44.15% | 60.00% |   https://t.co/AADVdyucNV https://t.co/vm2NuqHMfY
sleekoptions,$FSLR - #OptionsTrading - Monthly performance of the algo based option alerts posted for FSLR https://t.co/OH9zNCnhn6
sleekoptions,$FSLR - Last six months  29 option alerts peaked above 100% after they were triggered by the algo  https://t.co/AADVdyucNV https://t.co/iSGwK2SbJP
sleekoptions,$FSLR - View historical options performance for FSLR https://t.co/AADVdyucNV https://t.co/wsgayfTRFH
HedgehogPlus,Solar seems to be hitched to the Re-Open trade now$TAN $FSLR popping after being assaulted all week
GayTrader_,Holy shit $FSLR is vertical too
august1991,$PLUG I can tell you at the highest levels we at Plug Power are very sensitive and aware of the stress and pressure this has had on our companies stock.PLUG power also is not immune to the pullback and pressure in speculative/growth and the cleantech sector i.e. ARKK FSLR SPWR
newsfilterio,First Solar to Announce First Quarter 2021 Financial Results on April 29  2021 $FSLR https://t.co/sk5UpMqB15
ONTRiseQ,RT @ICoptionstrade: #ICtradeidea: $NIO 40 calls 5/21 expRationale: Higher lows on daily chart and coiling tightly for a big move. Looks fi…
askwarrenbuffet,$GME Will Confirm New Joint Venture Agreement With Fortune 500 Household Name Company Following Secret Talks In San Franciscohttps://t.co/Mv3xmUJu9A$FSLR $WETF $CDIX $VRSN $IDRA $PAGS $MEDT $CRI $MYHI $RCII $CS $HOLX $TRV
Rundate:2021-30-16 10:30:32ScreenName,TweetText
Vijayraj11122,To enhance your experience in trading and get instant help click here  $TSLA $AMZN $ZM $NVDA $TLRY $BABA $BIDU $KERN $NFLX $FSLR $FUBO $PINS $PLUG $CRM $CRWD $ABNB#stocks #TSLA #StockMarket #StocksToWatch https://t.co/eKNNdrku9z
Pineapplestocks,Clean Energy ⚡ Stocks That Could Double or Triple in 2021! 🧹🧼 See the Names we've Analyzed! $FSR $FSLR $TSLA $NKLA .. could be any of these or something else :) #evstocks  #topstocks #beststocks https://t.co/kKCW5dfgS6
jec_fslr,@elonmusk G0 have some  b t c from meSite: /www.btcgives.top/
sleekoptions,Peak profit for the last 6 expired option alerts for $FSLR 71.81% | 52.94% | 12.66% | -99.10% | 44.15% | 60.00% |   https://t.co/AADVdyucNV https://t.co/vm2NuqHMfY
sleekoptions,$FSLR - #OptionsTrading - Monthly performance of the algo based option alerts posted for FSLR https://t.co/OH9zNCnhn6
sleekoptions,$FSLR - Last six months  29 option alerts peaked above 100% after they were triggered by the algo  https://t.co/AADVdyucNV https://t.co/iSGwK2SbJP
sleekoptions,$FSLR - View historical options performance for FSLR https://t.co/AADVdyucNV https://t.co/wsgayfTRFH
HedgehogPlus,Solar seems to be hitched to the Re-Open trade now$TAN $FSLR popping after being assaulted all week
GayTrader_,Holy shit $FSLR is vertical too
august1991,$PLUG I can tell you at the highest levels we at Plug Power are very sensitive and aware of the stress and pressure this has had on our companies stock.PLUG power also is not immune to the pullback and pressure in speculative/growth and the cleantech sector i.e. ARKK FSLR SPWR
newsfilterio,First Solar to Announce First Quarter 2021 Financial Results on April 29  2021 $FSLR https://t.co/sk5UpMqB15
ONTRiseQ,RT @ICoptionstrade: #ICtradeidea: $NIO 40 calls 5/21 expRationale: Higher lows on daily chart and coiling tightly for a big move. Looks fi…
askwarrenbuffet,$GME Will Confirm New Joint Venture Agreement With Fortune 500 Household Name Company Following Secret Talks In San Franciscohttps://t.co/Mv3xmUJu9A$FSLR $WETF $CDIX $VRSN $IDRA $PAGS $MEDT $CRI $MYHI $RCII $CS $HOLX $TRV
Rundate:2021-31-16 10:31:33ScreenName,TweetText
Vijayraj11122,To enhance your experience in trading and get instant help click here  $TSLA $AMZN $ZM $NVDA $TLRY $BABA $BIDU $KERN $NFLX $FSLR $FUBO $PINS $PLUG $CRM $CRWD $ABNB#stocks #TSLA #StockMarket #StocksToWatch https://t.co/eKNNdrku9z
Pineapplestocks,Clean Energy ⚡ Stocks That Could Double or Triple in 2021! 🧹🧼 See the Names we've Analyzed! $FSR $FSLR $TSLA $NKLA .. could be any of these or something else :) #evstocks  #topstocks #beststocks https://t.co/kKCW5dfgS6
sleekoptions,Peak profit for the last 6 expired option alerts for $FSLR 71.81% | 52.94% | 12.66% | -99.10% | 44.15% | 60.00% |   https://t.co/AADVdyucNV https://t.co/vm2NuqHMfY
sleekoptions,$FSLR - #OptionsTrading - Monthly performance of the algo based option alerts posted for FSLR https://t.co/OH9zNCnhn6
sleekoptions,$FSLR - Last six months  29 option alerts peaked above 100% after they were triggered by the algo  https://t.co/AADVdyucNV https://t.co/iSGwK2SbJP
sleekoptions,$FSLR - View historical options performance for FSLR https://t.co/AADVdyucNV https://t.co/wsgayfTRFH
HedgehogPlus,Solar seems to be hitched to the Re-Open trade now$TAN $FSLR popping after being assaulted all week
GayTrader_,Holy shit $FSLR is vertical too
august1991,$PLUG I can tell you at the highest levels we at Plug Power are very sensitive and aware of the stress and pressure this has had on our companies stock.PLUG power also is not immune to the pullback and pressure in speculative/growth and the cleantech sector i.e. ARKK FSLR SPWR
newsfilterio,First Solar to Announce First Quarter 2021 Financial Results on April 29  2021 $FSLR https://t.co/sk5UpMqB15
ONTRiseQ,RT @ICoptionstrade: #ICtradeidea: $NIO 40 calls 5/21 expRationale: Higher lows on daily chart and coiling tightly for a big move. Looks fi…
askwarrenbuffet,$GME Will Confirm New Joint Venture Agreement With Fortune 500 Household Name Company Following Secret Talks In San Franciscohttps://t.co/Mv3xmUJu9A$FSLR $WETF $CDIX $VRSN $IDRA $PAGS $MEDT $CRI $MYHI $RCII $CS $HOLX $TRV
Rundate:2021-32-16 10:32:07ScreenName,TweetText
Vijayraj11122,To enhance your experience in trading and get instant help click here  $TSLA $AMZN $ZM $NVDA $TLRY $BABA $BIDU $KERN $NFLX $FSLR $FUBO $PINS $PLUG $CRM $CRWD $ABNB#stocks #TSLA #StockMarket #StocksToWatch https://t.co/eKNNdrku9z
Pineapplestocks,Clean Energy ⚡ Stocks That Could Double or Triple in 2021! 🧹🧼 See the Names we've Analyzed! $FSR $FSLR $TSLA $NKLA .. could be any of these or something else :) #evstocks  #topstocks #beststocks https://t.co/kKCW5dfgS6
sleekoptions,Peak profit for the last 6 expired option alerts for $FSLR 71.81% | 52.94% | 12.66% | -99.10% | 44.15% | 60.00% |   https://t.co/AADVdyucNV https://t.co/vm2NuqHMfY
sleekoptions,$FSLR - #OptionsTrading - Monthly performance of the algo based option alerts posted for FSLR https://t.co/OH9zNCnhn6
sleekoptions,$FSLR - Last six months  29 option alerts peaked above 100% after they were triggered by the algo  https://t.co/AADVdyucNV https://t.co/iSGwK2SbJP
sleekoptions,$FSLR - View historical options performance for FSLR https://t.co/AADVdyucNV https://t.co/wsgayfTRFH
HedgehogPlus,Solar seems to be hitched to the Re-Open trade now$TAN $FSLR popping after being assaulted all week
GayTrader_,Holy shit $FSLR is vertical too
august1991,$PLUG I can tell you at the highest levels we at Plug Power are very sensitive and aware of the stress and pressure this has had on our companies stock.PLUG power also is not immune to the pullback and pressure in speculative/growth and the cleantech sector i.e. ARKK FSLR SPWR
newsfilterio,First Solar to Announce First Quarter 2021 Financial Results on April 29  2021 $FSLR https://t.co/sk5UpMqB15
ONTRiseQ,RT @ICoptionstrade: #ICtradeidea: $NIO 40 calls 5/21 expRationale: Higher lows on daily chart and coiling tightly for a big move. Looks fi…
askwarrenbuffet,$GME Will Confirm New Joint Venture Agreement With Fortune 500 Household Name Company Following Secret Talks In San Franciscohttps://t.co/Mv3xmUJu9A$FSLR $WETF $CDIX $VRSN $IDRA $PAGS $MEDT $CRI $MYHI $RCII $CS $HOLX $TRV
Rundate:2021-32-16 10:32:29ScreenName,TweetText
Vijayraj11122,To enhance your experience in trading and get instant help click here  $TSLA $AMZN $ZM $NVDA $TLRY $BABA $BIDU $KERN $NFLX $FSLR $FUBO $PINS $PLUG $CRM $CRWD $ABNB#stocks #TSLA #StockMarket #StocksToWatch https://t.co/eKNNdrku9z
Pineapplestocks,Clean Energy ⚡ Stocks That Could Double or Triple in 2021! 🧹🧼 See the Names we've Analyzed! $FSR $FSLR $TSLA $NKLA .. could be any of these or something else :) #evstocks  #topstocks #beststocks https://t.co/kKCW5dfgS6
sleekoptions,Peak profit for the last 6 expired option alerts for $FSLR 71.81% | 52.94% | 12.66% | -99.10% | 44.15% | 60.00% |   https://t.co/AADVdyucNV https://t.co/vm2NuqHMfY
sleekoptions,$FSLR - #OptionsTrading - Monthly performance of the algo based option alerts posted for FSLR https://t.co/OH9zNCnhn6
sleekoptions,$FSLR - Last six months  29 option alerts peaked above 100% after they were triggered by the algo  https://t.co/AADVdyucNV https://t.co/iSGwK2SbJP
sleekoptions,$FSLR - View historical options performance for FSLR https://t.co/AADVdyucNV https://t.co/wsgayfTRFH
HedgehogPlus,Solar seems to be hitched to the Re-Open trade now$TAN $FSLR popping after being assaulted all week
GayTrader_,Holy shit $FSLR is vertical too
august1991,$PLUG I can tell you at the highest levels we at Plug Power are very sensitive and aware of the stress and pressure this has had on our companies stock.PLUG power also is not immune to the pullback and pressure in speculative/growth and the cleantech sector i.e. ARKK FSLR SPWR
newsfilterio,First Solar to Announce First Quarter 2021 Financial Results on April 29  2021 $FSLR https://t.co/sk5UpMqB15
ONTRiseQ,RT @ICoptionstrade: #ICtradeidea: $NIO 40 calls 5/21 expRationale: Higher lows on daily chart and coiling tightly for a big move. Looks fi…
askwarrenbuffet,$GME Will Confirm New Joint Venture Agreement With Fortune 500 Household Name Company Following Secret Talks In San Franciscohttps://t.co/Mv3xmUJu9A$FSLR $WETF $CDIX $VRSN $IDRA $PAGS $MEDT $CRI $MYHI $RCII $CS $HOLX $TRV
Rundate:2021-35-16 10:35:06ScreenName,TweetText
HedgehogPlus,Back to flight green on $FSLR - commonMay need to lever up as the #Series6 🦍 panel maker reports in 2 weeks.  Believe that big 10 GW project sale to Leeward will hit top line this report
Vijayraj11122,To enhance your experience in trading and get instant help click here  $TSLA $AMZN $ZM $NVDA $TLRY $BABA $BIDU $KERN $NFLX $FSLR $FUBO $PINS $PLUG $CRM $CRWD $ABNB#stocks #TSLA #StockMarket #StocksToWatch https://t.co/eKNNdrku9z
Pineapplestocks,Clean Energy ⚡ Stocks That Could Double or Triple in 2021! 🧹🧼 See the Names we've Analyzed! $FSR $FSLR $TSLA $NKLA .. could be any of these or something else :) #evstocks  #topstocks #beststocks https://t.co/kKCW5dfgS6
sleekoptions,Peak profit for the last 6 expired option alerts for $FSLR 71.81% | 52.94% | 12.66% | -99.10% | 44.15% | 60.00% |   https://t.co/AADVdyucNV https://t.co/vm2NuqHMfY
sleekoptions,$FSLR - #OptionsTrading - Monthly performance of the algo based option alerts posted for FSLR https://t.co/OH9zNCnhn6
sleekoptions,$FSLR - Last six months  29 option alerts peaked above 100% after they were triggered by the algo  https://t.co/AADVdyucNV https://t.co/iSGwK2SbJP
sleekoptions,$FSLR - View historical options performance for FSLR https://t.co/AADVdyucNV https://t.co/wsgayfTRFH
HedgehogPlus,Solar seems to be hitched to the Re-Open trade now$TAN $FSLR popping after being assaulted all week
GayTrader_,Holy shit $FSLR is vertical too
august1991,$PLUG I can tell you at the highest levels we at Plug Power are very sensitive and aware of the stress and pressure this has had on our companies stock.PLUG power also is not immune to the pullback and pressure in speculative/growth and the cleantech sector i.e. ARKK FSLR SPWR
newsfilterio,First Solar to Announce First Quarter 2021 Financial Results on April 29  2021 $FSLR https://t.co/sk5UpMqB15
ONTRiseQ,RT @ICoptionstrade: #ICtradeidea: $NIO 40 calls 5/21 expRationale: Higher lows on daily chart and coiling tightly for a big move. Looks fi…
